State,State_abbrev,Year,Beer (Per capita consumption),Wine (Per capita consumption),Spirits (Per capita consumption),All beverages (Per capita consumption),id
Missouri,MO,1995,1.31,0.2,0.62,2.14,29
Missouri,MO,1994,1.36,0.19,0.66,2.21,29
Missouri,MO,1993,1.33,0.2,0.67,2.2,29
Missouri,MO,1992,1.34,0.21,0.69,2.24,29
Missouri,MO,1991,1.35,0.22,0.64,2.2,29
Missouri,MO,1990,1.37,0.22,0.7,2.3,29
Missouri,MO,1989,1.36,0.23,0.7,2.28,29
Missouri,MO,1988,1.35,0.26,0.7,2.31,29
Missouri,MO,1987,1.38,0.28,0.73,2.39,29
Missouri,MO,1986,1.38,0.28,0.73,2.39,29
Missouri,MO,1985,1.34,0.26,0.77,2.37,29
Missouri,MO,1984,1.35,0.26,0.68,2.29,29
Missouri,MO,1983,1.38,0.22,0.78,2.38,29
Missouri,MO,1982,1.39,0.22,0.79,2.39,29
Missouri,MO,1981,1.41,0.22,0.84,2.46,29
Missouri,MO,1980,1.39,0.2,0.84,2.44,29
Missouri,MO,1979,1.36,0.2,0.86,2.42,29
Missouri,MO,1978,1.31,0.19,0.89,2.39,29
Missouri,MO,1977,1.23,0.19,0.83,2.24,29
Montana,MT,2016,1.62,0.52,0.98,3.11,30
Montana,MT,2015,1.63,0.5,0.96,3.09,30
Montana,MT,2014,1.62,0.5,0.96,3.08,30
Montana,MT,2013,1.63,0.49,0.95,3.07,30
Montana,MT,2012,1.65,0.48,0.94,3.07,30
Montana,MT,2011,1.61,0.47,0.9,2.97,30
Montana,MT,2010,1.65,0.45,0.88,2.98,30
Montana,MT,2009,1.64,0.45,0.87,2.96,30
Montana,MT,2008,1.66,0.44,0.87,2.97,30
Montana,MT,2007,1.66,0.43,0.85,2.94,30
Montana,MT,2006,1.63,0.41,0.82,2.87,30
Montana,MT,2005,1.59,0.42,0.77,2.78,30
Montana,MT,2004,1.57,0.34,0.75,2.66,30
Montana,MT,2003,1.56,0.33,0.72,2.62,30
Montana,MT,2002,1.62,0.33,0.7,2.65,30
Montana,MT,2001,1.58,0.3,0.68,2.56,30
Montana,MT,2000,1.57,0.29,0.68,2.54,30
Montana,MT,1999,1.56,0.28,0.67,2.51,30
Montana,MT,1998,1.53,0.27,0.65,2.45,30
Montana,MT,1997,1.41,0.27,0.64,2.32,30
Montana,MT,1996,1.55,0.26,0.64,2.45,30
Montana,MT,1995,1.52,0.25,0.78,2.55,30
Montana,MT,1994,1.57,0.24,0.7,2.51,30
Montana,MT,1993,1.49,0.25,0.73,2.47,30
Montana,MT,1992,1.59,0.26,0.75,2.61,30
Montana,MT,1991,1.61,0.28,0.76,2.64,30
Montana,MT,1990,1.61,0.29,0.77,2.67,30
Montana,MT,1989,1.59,0.29,0.73,2.61,30
Montana,MT,1988,1.61,0.32,0.77,2.7,30
Montana,MT,1987,1.59,0.34,0.78,2.7,30
Montana,MT,1986,1.6,0.34,0.82,2.76,30
Montana,MT,1985,1.62,0.33,0.89,2.84,30
Montana,MT,1984,1.71,0.32,0.93,2.97,30
Montana,MT,1983,1.8,0.32,0.99,3.11,30
Montana,MT,1982,1.82,0.32,1.02,3.16,30
Montana,MT,1981,1.9,0.33,1.05,3.27,30
Montana,MT,1980,1.82,0.35,1.03,3.2,30
Montana,MT,1979,1.83,0.41,1.05,3.29,30
Montana,MT,1978,1.82,0.2,1.07,3.09,30
Montana,MT,1977,1.82,0.2,1.1,3.11,30
Nebraska,NE,2016,1.3,0.22,0.71,2.23,31
Nebraska,NE,2015,1.34,0.22,0.71,2.27,31
Nebraska,NE,2014,1.37,0.21,0.71,2.3,31
Nebraska,NE,2013,1.39,0.21,0.71,2.31,31
Nebraska,NE,2012,1.41,0.21,0.69,2.31,31
Nebraska,NE,2011,1.39,0.21,0.69,2.28,31
Nebraska,NE,2010,1.4,0.21,0.67,2.28,31
Nebraska,NE,2009,1.42,0.2,0.67,2.29,31
Nebraska,NE,2008,1.45,0.2,0.68,2.33,31
Nebraska,NE,2007,1.43,0.2,0.67,2.31,31
Nebraska,NE,2006,1.42,0.21,0.71,2.35,31
Nebraska,NE,2005,1.41,0.2,0.68,2.29,31
Nebraska,NE,2004,1.44,0.2,0.65,2.28,31
Nebraska,NE,2003,1.43,0.19,0.63,2.24,31
Nebraska,NE,2002,1.45,0.17,0.61,2.23,31
Nebraska,NE,2001,1.43,0.16,0.6,2.2,31
Nebraska,NE,2000,1.44,0.17,0.62,2.23,31
Nebraska,NE,1999,1.42,0.17,0.6,2.19,31
Nebraska,NE,1998,1.39,0.18,0.58,2.16,31
Nebraska,NE,1997,1.35,0.18,0.56,2.09,31
Nebraska,NE,1996,1.35,0.18,0.57,2.11,31
Nebraska,NE,1995,1.35,0.19,0.57,2.1,31
Nebraska,NE,1994,1.39,0.18,0.57,2.14,31
Nebraska,NE,1993,1.37,0.18,0.59,2.14,31
Nebraska,NE,1992,1.37,0.18,0.61,2.16,31
Nebraska,NE,1991,1.4,0.18,0.61,2.19,31
Nebraska,NE,1990,1.41,0.2,0.64,2.25,31
Nebraska,NE,1989,1.41,0.2,0.64,2.26,31
Nebraska,NE,1988,1.41,0.22,0.66,2.3,31
Nebraska,NE,1987,1.43,0.23,0.67,2.33,31
Nebraska,NE,1986,1.41,0.23,0.69,2.33,31
Nebraska,NE,1985,1.41,0.22,0.76,2.39,31
Nebraska,NE,1984,1.46,0.21,0.77,2.43,31
Nebraska,NE,1983,1.5,0.21,0.8,2.51,31
Nebraska,NE,1982,1.51,0.28,0.58,2.37,31
Nebraska,NE,1981,1.57,0.2,0.88,2.65,31
Nebraska,NE,1980,1.56,0.19,0.88,2.63,31
Nebraska,NE,1979,1.52,0.18,0.89,2.59,31
Nebraska,NE,1978,1.48,0.18,0.9,2.56,31
Nebraska,NE,1977,1.46,0.17,0.91,2.54,31
Nevada,NV,2016,1.41,0.61,1.44,3.46,32
Nevada,NV,2015,1.38,0.66,1.29,3.33,32
Nevada,NV,2014,1.41,0.66,1.3,3.36,32
Nevada,NV,2013,1.4,0.63,1.28,3.31,32
Nevada,NV,2012,1.41,0.62,1.24,3.27,32
Nevada,NV,2011,1.45,0.63,1.27,3.35,32
Nevada,NV,2010,1.49,0.6,1.21,3.3,32
Nevada,NV,2009,1.53,0.56,1.11,3.21,32
Nevada,NV,2008,1.63,0.61,1.29,3.53,32
Nevada,NV,2007,1.66,0.62,1.23,3.52,32
Nevada,NV,2006,1.71,0.65,1.28,3.63,32
Nevada,NV,2005,1.69,0.62,1.21,3.52,32
Nevada,NV,2004,1.73,0.63,1.25,3.61,32
Nevada,NV,2003,1.74,0.61,1.23,3.59,32
Nevada,NV,2002,1.74,0.6,1.22,3.56,32
Nevada,NV,2001,1.79,0.59,1.21,3.59,32
Nevada,NV,2000,1.79,0.62,1.26,3.67,32
Nevada,NV,1999,1.82,0.63,1.29,3.74,32
Nevada,NV,1998,1.8,0.58,1.23,3.62,32
Nevada,NV,1997,1.84,0.58,1.3,3.72,32
Nevada,NV,1996,1.91,0.59,1.39,3.89,32
Nevada,NV,1995,1.87,0.58,1.39,3.84,32
Nevada,NV,1994,1.93,0.57,1.51,4,32
Nevada,NV,1993,1.95,0.58,1.54,4.07,32
Nevada,NV,1992,2.02,0.62,1.61,4.25,32
Nevada,NV,1991,2.05,0.63,1.63,4.31,32
Nevada,NV,1990,2.17,0.69,1.92,4.78,32
Nevada,NV,1989,2.12,0.71,1.87,4.7,32
Nevada,NV,1988,2.08,0.76,1.95,4.8,32
Nevada,NV,1987,2.01,0.83,2.05,4.89,32
Nevada,NV,1986,2.04,0.86,2.07,4.97,32
Nevada,NV,1985,1.96,0.84,2.18,4.99,32
Nevada,NV,1984,1.97,0.8,2.32,5.1,32
Nevada,NV,1983,1.96,0.78,2.43,5.18,32
Nevada,NV,1982,2,0.77,2.5,5.27,32
Nevada,NV,1981,2.08,0.8,2.71,5.59,32
Nevada,NV,1980,2.06,0.78,2.9,5.75,32
Nevada,NV,1979,2.07,0.79,2.97,5.83,32
Nevada,NV,1978,2.01,0.77,3.34,6.13,32
Nevada,NV,1977,1.99,0.77,3.56,6.32,32
New Hampshire,NH,2016,1.87,0.88,2,4.76,33
New Hampshire,NH,2015,1.88,0.88,1.96,4.72,33
New Hampshire,NH,2014,1.69,0.89,1.96,4.54,33
New Hampshire,NH,2013,1.86,0.89,1.93,4.68,33
New Hampshire,NH,2012,1.9,0.86,1.89,4.65,33
New Hampshire,NH,2011,1.86,0.92,1.98,4.77,33
New Hampshire,NH,2010,1.81,0.84,1.85,4.5,33
New Hampshire,NH,2009,1.79,0.84,1.84,4.47,33
New Hampshire,NH,2008,1.78,0.81,1.79,4.39,33
New Hampshire,NH,2007,1.82,0.79,1.75,4.36,33
New Hampshire,NH,2006,1.73,0.78,1.77,4.28,33
New Hampshire,NH,2005,1.75,0.75,1.71,4.2,33
New Hampshire,NH,2004,1.74,0.73,1.67,4.14,33
New Hampshire,NH,2003,1.75,0.71,1.63,4.09,33
New Hampshire,NH,2002,1.75,0.7,1.64,4.09,33
New Hampshire,NH,2001,1.75,0.66,1.62,4.03,33
New Hampshire,NH,2000,1.78,0.65,1.63,4.06,33
New Hampshire,NH,1999,1.77,0.65,1.64,4.06,33
New Hampshire,NH,1998,1.77,0.55,1.67,3.99,33
New Hampshire,NH,1997,1.78,0.54,1.72,4.04,33
New Hampshire,NH,1996,1.78,0.53,1.79,4.11,33
New Hampshire,NH,1995,1.73,0.5,1.79,4.02,33
New Hampshire,NH,1994,1.75,0.48,1.9,4.13,33
New Hampshire,NH,1993,1.83,0.54,2.01,4.38,33
New Hampshire,NH,1992,1.81,0.52,1.96,4.3,33
New Hampshire,NH,1991,1.85,0.49,1.96,4.3,33
New Hampshire,NH,1990,1.85,0.49,1.97,4.3,33
New Hampshire,NH,1989,1.87,0.5,2,4.38,33
New Hampshire,NH,1988,1.91,0.49,1.94,4.34,33
New Hampshire,NH,1987,1.93,0.5,1.99,4.42,33
New Hampshire,NH,1986,1.93,0.52,2.06,4.52,33
New Hampshire,NH,1985,1.99,0.53,2.22,4.74,33
New Hampshire,NH,1984,1.99,0.59,2.33,4.92,33
New Hampshire,NH,1983,2.17,0.56,2.36,5.09,33
New Hampshire,NH,1982,1.9,0.59,2.35,4.84,33
New Hampshire,NH,1981,1.89,0.59,2.43,4.91,33
New Hampshire,NH,1980,1.93,0.6,2.49,5.02,33
New Hampshire,NH,1979,1.94,0.61,2.56,5.1,33
New Hampshire,NH,1978,1.95,0.53,2.88,5.36,33
New Hampshire,NH,1977,1.86,0.49,2.88,5.23,33
New Jersey,NJ,2016,0.82,0.59,0.92,2.34,34
New Jersey,NJ,2015,0.83,0.6,0.92,2.36,34
New Jersey,NJ,2014,0.84,0.62,0.92,2.37,34
New Jersey,NJ,2013,0.84,0.61,0.92,2.36,34
New Jersey,NJ,2012,0.88,0.6,0.9,2.39,34
New Jersey,NJ,2011,0.89,0.58,0.89,2.36,34
New Jersey,NJ,2010,0.92,0.57,0.86,2.35,34
New Jersey,NJ,2009,0.91,0.57,0.86,2.34,34
New Jersey,NJ,2008,0.93,0.55,0.86,2.35,34
New Jersey,NJ,2007,0.93,0.55,0.86,2.33,34
New Jersey,NJ,2006,0.95,0.54,0.85,2.33,34
New Jersey,NJ,2005,0.95,0.52,0.83,2.3,34
New Jersey,NJ,2004,0.96,0.52,0.82,2.3,34
New Jersey,NJ,2003,0.95,0.5,0.8,2.24,34
New Jersey,NJ,2002,0.98,0.49,0.77,2.24,34
New Jersey,NJ,2001,0.99,0.47,0.75,2.2,34
New Jersey,NJ,2000,0.97,0.47,0.76,2.2,34
New Jersey,NJ,1999,0.97,0.47,0.74,2.18,34
New Jersey,NJ,1998,0.98,0.46,0.71,2.15,34
New Jersey,NJ,1997,0.99,0.46,0.74,2.19,34
New Jersey,NJ,1996,1,0.44,0.76,2.2,34
New Jersey,NJ,1995,1.06,0.44,0.79,2.28,34
New Jersey,NJ,1994,1.04,0.43,0.79,2.27,34
New Jersey,NJ,1993,1.07,0.42,0.79,2.29,34
New Jersey,NJ,1992,1.07,0.44,0.83,2.34,34
New Jersey,NJ,1991,1.09,0.43,0.82,2.34,34
New Jersey,NJ,1990,1.15,0.48,0.95,2.58,34
New Jersey,NJ,1989,1.13,0.5,0.95,2.58,34
New Jersey,NJ,1988,1.15,0.51,0.93,2.58,34
New Jersey,NJ,1987,1.18,0.54,1,2.72,34
New Jersey,NJ,1986,1.17,0.56,1.03,2.77,34
New Jersey,NJ,1985,1.17,0.55,1.07,2.79,34
New Jersey,NJ,1984,1.18,0.54,1.1,2.82,34
New Jersey,NJ,1983,1.2,0.52,1.13,2.85,34
New Jersey,NJ,1982,1.21,0.52,1.13,2.87,34
New Jersey,NJ,1981,1.21,0.51,1.15,2.87,34
New Jersey,NJ,1980,1.22,0.47,1.13,2.82,34
New Jersey,NJ,1979,1.18,0.43,1.1,2.71,34
New Jersey,NJ,1978,1.17,0.41,1.1,2.69,34
New Jersey,NJ,1977,1.16,0.4,1.13,2.69,34
New Mexico,NM,2016,1.11,0.31,0.85,2.27,35
New Mexico,NM,2015,1.03,0.3,0.78,2.11,35
New Mexico,NM,2014,1.29,0.31,0.82,2.42,35
New Mexico,NM,2013,1.17,0.34,0.85,2.35,35
New Mexico,NM,2012,1.24,0.33,0.79,2.36,35
New Mexico,NM,2011,1.32,0.31,0.73,2.35,35
New Mexico,NM,2010,1.23,0.31,0.74,2.28,35
New Mexico,NM,2009,1.34,0.31,0.72,2.38,35
New Mexico,NM,2008,1.41,0.31,0.71,2.43,35
New Mexico,NM,2007,1.39,0.3,0.7,2.39,35
New Mexico,NM,2006,1.37,0.3,0.69,2.36,35
New Mexico,NM,2005,1.47,0.29,0.66,2.42,35
New Mexico,NM,2004,1.46,0.25,0.66,2.36,35
New Mexico,NM,2003,1.52,0.27,0.61,2.4,35
New Mexico,NM,2002,1.52,0.26,0.61,2.4,35
New Mexico,NM,2001,1.54,0.25,0.61,2.39,35
New Mexico,NM,2000,1.53,0.25,0.61,2.38,35
New Mexico,NM,1999,1.53,0.25,0.59,2.36,35
New Mexico,NM,1998,1.49,0.24,0.58,2.31,35
New Mexico,NM,1997,1.51,0.24,0.58,2.33,35
New Mexico,NM,1996,1.55,0.24,0.59,2.38,35
New Mexico,NM,1995,1.56,0.24,0.6,2.4,35
New Mexico,NM,1994,1.46,0.19,0.6,2.25,35
New Mexico,NM,1993,1.53,0.23,0.63,2.39,35
New Mexico,NM,1992,1.56,0.25,0.66,2.47,35
New Mexico,NM,1991,1.64,0.26,0.64,2.54,35
New Mexico,NM,1990,1.68,0.28,0.68,2.64,35
New Mexico,NM,1989,1.67,0.29,0.66,2.62,35
New Mexico,NM,1988,1.66,0.33,0.68,2.67,35
New Mexico,NM,1987,1.65,0.36,0.68,2.69,35
New Mexico,NM,1986,1.66,0.36,0.71,2.73,35
New Mexico,NM,1985,1.71,0.36,0.77,2.84,35
New Mexico,NM,1984,1.72,0.28,0.76,2.76,35
New Mexico,NM,1983,1.72,0.31,0.98,3.01,35
New Mexico,NM,1982,1.72,0.34,0.93,2.99,35
New Mexico,NM,1981,1.73,0.32,0.95,3,35
New Mexico,NM,1980,1.65,0.32,0.99,2.97,35
New Mexico,NM,1979,1.64,0.29,0.97,2.91,35
New Mexico,NM,1978,1.65,0.31,0.96,2.93,35
New Mexico,NM,1977,1.62,0.31,0.95,2.88,35
New York,NY,2016,0.91,0.53,0.78,2.22,36
New York,NY,2015,0.9,0.5,0.77,2.18,36
New York,NY,2014,0.9,0.53,0.76,2.2,36
New York,NY,2013,0.93,0.51,0.77,2.21,36
New York,NY,2012,0.91,0.51,0.75,2.17,36
New York,NY,2011,0.89,0.5,0.72,2.11,36
New York,NY,2010,0.89,0.48,0.71,2.09,36
New York,NY,2009,0.92,0.47,0.7,2.08,36
New York,NY,2008,0.93,0.47,0.68,2.08,36
New York,NY,2007,0.93,0.47,0.69,2.1,36
New York,NY,2006,0.89,0.46,0.66,2.01,36
New York,NY,2005,0.91,0.43,0.65,1.99,36
New York,NY,2004,0.92,0.42,0.62,1.96,36
New York,NY,2003,0.93,0.4,0.61,1.94,36
New York,NY,2002,0.95,0.38,0.59,1.92,36
New York,NY,2001,0.96,0.37,0.56,1.89,36
New York,NY,2000,0.92,0.38,0.58,1.88,36
New York,NY,1999,0.93,0.37,0.56,1.85,36
New York,NY,1998,0.95,0.38,0.51,1.84,36
New York,NY,1997,0.86,0.36,0.56,1.79,36
New York,NY,1996,0.91,0.36,0.57,1.84,36
New York,NY,1995,1,0.38,0.57,1.95,36
New York,NY,1994,0.98,0.35,0.6,1.93,36
New York,NY,1993,1,0.35,0.62,1.97,36
New York,NY,1992,1.04,0.37,0.68,2.09,36
New York,NY,1991,1.09,0.37,0.69,2.14,36
New York,NY,1990,1.13,0.41,0.76,2.3,36
New York,NY,1989,1.11,0.42,0.81,2.34,36
New York,NY,1988,1.14,0.44,0.86,2.45,36
New York,NY,1987,1.14,0.47,0.9,2.51,36
New York,NY,1986,1.12,0.5,0.91,2.53,36
New York,NY,1985,1.14,0.49,0.98,2.61,36
New York,NY,1984,1.14,0.49,1.03,2.67,36
New York,NY,1983,1.23,0.49,1.05,2.77,36
New York,NY,1982,1.26,0.48,1.11,2.85,36
New York,NY,1981,1.25,0.46,1.12,2.83,36
New York,NY,1980,1.27,0.46,1.17,2.91,36
New York,NY,1979,1.21,0.44,1.17,2.83,36
New York,NY,1978,1.18,0.42,1.18,2.78,36
New York,NY,1977,1.18,0.39,1.18,2.75,36
North Carolina,NC,2016,1.05,0.43,0.64,2.13,37
North Carolina,NC,2015,1.05,0.42,0.63,2.1,37
North Carolina,NC,2014,1.04,0.41,0.61,2.06,37
North Carolina,NC,2013,1.04,0.39,0.6,2.03,37
North Carolina,NC,2012,1.07,0.38,0.6,2.05,37
North Carolina,NC,2011,1.05,0.37,0.58,2.01,37
North Carolina,NC,2010,1.08,0.35,0.57,2.01,37
North Carolina,NC,2009,1.09,0.33,0.57,1.99,37
North Carolina,NC,2008,1.13,0.34,0.57,2.03,37
North Carolina,NC,2007,1.15,0.33,0.56,2.04,37
North Carolina,NC,2006,1.14,0.32,0.54,2.01,37
North Carolina,NC,2005,1.13,0.3,0.54,1.96,37
North Carolina,NC,2004,1.16,0.3,0.53,1.99,37
North Carolina,NC,2003,1.21,0.27,0.52,2,37
North Carolina,NC,2002,1.25,0.27,0.5,2.02,37
North Carolina,NC,2001,1.24,0.25,0.51,2,37
North Carolina,NC,2000,1.22,0.25,0.52,1.98,37
North Carolina,NC,1999,1.21,0.24,0.51,1.96,37
North Carolina,NC,1998,1.21,0.23,0.5,1.94,37
North Carolina,NC,1997,1.22,0.23,0.52,1.97,37
North Carolina,NC,1996,1.21,0.24,0.52,1.98,37
North Carolina,NC,1995,1.12,0.21,0.53,1.87,37
North Carolina,NC,1994,1.14,0.21,0.54,1.89,37
North Carolina,NC,1993,1.14,0.22,0.56,1.92,37
North Carolina,NC,1992,1.14,0.23,0.59,1.96,37
North Carolina,NC,1991,1.11,0.24,0.6,1.96,37
North Carolina,NC,1990,1.16,0.27,0.65,2.08,37
North Carolina,NC,1989,1.13,0.27,0.66,2.05,37
North Carolina,NC,1988,1.11,0.28,0.68,2.08,37
North Carolina,NC,1987,1.11,0.28,0.71,2.09,37
North Carolina,NC,1986,1.11,0.3,0.74,2.15,37
North Carolina,NC,1985,1.1,0.27,0.76,2.13,37
North Carolina,NC,1984,1.11,0.24,0.78,2.13,37
North Carolina,NC,1983,1.11,0.22,0.8,2.12,37
North Carolina,NC,1982,1.07,0.21,0.85,2.13,37
North Carolina,NC,1981,1.1,0.21,0.86,2.16,37
North Carolina,NC,1980,1.1,0.2,0.85,2.16,37
North Carolina,NC,1979,1.04,0.21,0.84,2.09,37
North Carolina,NC,1978,1.02,0.19,0.83,2.04,37
North Carolina,NC,1977,0.98,0.19,0.81,1.98,37
North Dakota,ND,2016,1.64,0.34,1.29,3.26,38
North Dakota,ND,2015,1.58,0.35,1.32,3.25,38
North Dakota,ND,2014,1.67,0.35,1.39,3.41,38
North Dakota,ND,2013,1.68,0.32,1.37,3.38,38
North Dakota,ND,2012,1.75,0.3,1.37,3.42,38
North Dakota,ND,2011,1.66,0.26,1.26,3.18,38
North Dakota,ND,2010,1.49,0.25,1.19,2.93,38
North Dakota,ND,2009,1.59,0.24,1.13,2.96,38
North Dakota,ND,2008,1.6,0.23,1.11,2.94,38
North Dakota,ND,2007,1.53,0.23,1.06,2.82,38
North Dakota,ND,2006,1.5,0.2,1,2.7,38
North Dakota,ND,2005,1.48,0.18,0.94,2.6,38
North Dakota,ND,2004,1.49,0.18,0.82,2.49,38
North Dakota,ND,2003,1.53,0.17,0.86,2.56,38
North Dakota,ND,2002,1.51,0.16,0.83,2.5,38
North Dakota,ND,2001,1.46,0.15,0.81,2.42,38
North Dakota,ND,2000,1.47,0.15,0.79,2.4,38
North Dakota,ND,1999,1.48,0.15,0.78,2.41,38
North Dakota,ND,1998,1.45,0.13,0.76,2.35,38
North Dakota,ND,1997,1.4,0.13,0.77,2.3,38
North Dakota,ND,1996,1.4,0.13,0.77,2.3,38
North Dakota,ND,1995,1.36,0.16,0.77,2.28,38
North Dakota,ND,1994,1.39,0.15,0.78,2.32,38
North Dakota,ND,1993,1.37,0.15,0.84,2.36,38
North Dakota,ND,1992,1.38,0.15,0.85,2.39,38
North Dakota,ND,1991,1.43,0.16,0.86,2.44,38
North Dakota,ND,1990,1.47,0.17,0.93,2.56,38
North Dakota,ND,1989,1.41,0.17,0.86,2.44,38
North Dakota,ND,1988,1.41,0.19,0.88,2.48,38
North Dakota,ND,1987,1.37,0.21,0.89,2.47,38
North Dakota,ND,1986,1.34,0.22,0.87,2.44,38
North Dakota,ND,1985,1.34,0.19,0.96,2.5,38
North Dakota,ND,1984,1.41,0.17,0.99,2.56,38
North Dakota,ND,1983,1.49,0.17,1.05,2.71,38
North Dakota,ND,1982,1.52,0.18,1.09,2.79,38
North Dakota,ND,1981,1.53,0.18,1.14,2.85,38
North Dakota,ND,1980,1.52,0.17,1.13,2.82,38
North Dakota,ND,1979,1.46,0.16,1.1,2.72,38
North Dakota,ND,1978,1.45,0.16,1.15,2.76,38
North Dakota,ND,1977,1.35,0.15,1.12,2.62,38
Ohio,OH,2016,1.15,0.31,0.58,2.04,39
Ohio,OH,2015,1.17,0.3,0.56,2.03,39
Ohio,OH,2014,1.19,0.3,0.54,2.03,39
Ohio,OH,2013,1.22,0.3,0.53,2.04,39
Ohio,OH,2012,1.23,0.29,0.51,2.03,39
Ohio,OH,2011,1.24,0.28,0.49,2.02,39
Ohio,OH,2010,1.29,0.25,0.48,2.02,39
Ohio,OH,2009,1.3,0.27,0.47,2.03,39
Ohio,OH,2008,1.33,0.26,0.46,2.05,39
Ohio,OH,2007,1.34,0.25,0.45,2.04,39
Ohio,OH,2006,1.33,0.24,0.44,2.01,39
Ohio,OH,2005,1.34,0.23,0.43,2,39
Ohio,OH,2004,1.34,0.22,0.42,1.97,39
Ohio,OH,2003,1.34,0.22,0.4,1.95,39
Ohio,OH,2002,1.35,0.21,0.39,1.95,39
Ohio,OH,2001,1.34,0.21,0.39,1.93,39
Ohio,OH,2000,1.32,0.21,0.38,1.91,39
Ohio,OH,1999,1.32,0.2,0.37,1.9,39
Ohio,OH,1998,1.3,0.19,0.44,1.94,39
Ohio,OH,1997,1.28,0.19,0.43,1.89,39
Ohio,OH,1996,1.36,0.18,0.43,1.97,39
Ohio,OH,1995,1.29,0.17,0.43,1.89,39
Ohio,OH,1994,1.31,0.16,0.37,1.85,39
Ohio,OH,1993,1.29,0.16,0.5,1.95,39
Ohio,OH,1992,1.32,0.17,0.5,1.98,39
Ohio,OH,1991,1.33,0.18,0.51,2.03,39
Ohio,OH,1990,1.34,0.22,0.53,2.09,39
Ohio,OH,1989,1.36,0.22,0.51,2.09,39
Ohio,OH,1988,1.35,0.24,0.55,2.13,39
Ohio,OH,1987,1.35,0.24,0.59,2.18,39
Ohio,OH,1986,1.32,0.25,0.6,2.18,39
Ohio,OH,1985,1.37,0.25,0.59,2.21,39
Ohio,OH,1984,1.41,0.25,0.61,2.27,39
Ohio,OH,1983,1.36,0.22,0.65,2.23,39
Ohio,OH,1982,1.4,0.22,0.66,2.28,39
Ohio,OH,1981,1.35,0.22,0.68,2.25,39
Ohio,OH,1980,1.39,0.21,0.72,2.33,39
Ohio,OH,1979,1.35,0.19,0.7,2.25,39
Ohio,OH,1978,1.19,0.2,0.7,2.08,39
Ohio,OH,1977,1.16,0.18,0.7,2.03,39
Oklahoma,OK,2016,1.05,0.2,0.63,1.88,40
Oklahoma,OK,2015,1.07,0.19,0.62,1.89,40
Oklahoma,OK,2014,1.09,0.19,0.63,1.91,40
Oklahoma,OK,2013,1.11,0.19,0.62,1.93,40
Oklahoma,OK,2012,1.14,0.19,0.61,1.94,40
Oklahoma,OK,2011,1.14,0.19,0.59,1.92,40
Oklahoma,OK,2010,1.16,0.18,0.58,1.92,40
Oklahoma,OK,2009,1.17,0.18,0.58,1.93,40
Oklahoma,OK,2008,1.22,0.18,0.58,1.97,40
Oklahoma,OK,2007,1.17,0.17,0.57,1.91,40
Oklahoma,OK,2006,1.13,0.17,0.56,1.87,40
Oklahoma,OK,2005,1.09,0.16,0.55,1.8,40
Oklahoma,OK,2004,1.11,0.13,0.46,1.7,40
Oklahoma,OK,2003,1.06,0.13,0.74,1.93,40
Oklahoma,OK,2002,1.12,0.13,0.58,1.82,40
Oklahoma,OK,2001,1.11,0.12,0.43,1.65,40
Oklahoma,OK,2000,1.12,0.12,0.44,1.69,40
Oklahoma,OK,1999,1.11,0.12,0.44,1.68,40
Oklahoma,OK,1998,1.12,0.12,0.43,1.68,40
Oklahoma,OK,1997,1.1,0.12,0.43,1.65,40
Oklahoma,OK,1996,1.09,0.12,0.45,1.66,40
Oklahoma,OK,1995,1.1,0.12,0.44,1.66,40
Oklahoma,OK,1994,1.15,0.13,0.5,1.78,40
Oklahoma,OK,1993,1.11,0.11,0.48,1.7,40
Oklahoma,OK,1992,1.13,0.13,0.55,1.81,40
Oklahoma,OK,1991,1.09,0.13,0.54,1.76,40
Oklahoma,OK,1990,1.12,0.14,0.55,1.81,40
Oklahoma,OK,1989,1.08,0.14,0.54,1.75,40
Oklahoma,OK,1988,1.07,0.14,0.52,1.73,40
Oklahoma,OK,1987,1.06,0.15,0.58,1.79,40
Oklahoma,OK,1986,1.06,0.15,0.62,1.84,40
Oklahoma,OK,1985,1.05,0.15,0.68,1.88,40
Oklahoma,OK,1984,1,0.16,0.74,1.91,40
Oklahoma,OK,1983,1.04,0.16,0.77,1.97,40
Oklahoma,OK,1982,1.15,0.16,0.82,2.14,40
Oklahoma,OK,1981,1.14,0.16,0.83,2.13,40
Oklahoma,OK,1980,1.07,0.16,0.71,1.94,40
Oklahoma,OK,1979,1.03,0.13,0.78,1.94,40
Oklahoma,OK,1978,1.05,0.14,0.8,2,40
Oklahoma,OK,1977,1.04,0.13,0.77,1.95,40
Oregon,OR,2016,1.24,0.6,0.91,2.75,41
Oregon,OR,2015,1.23,0.58,0.9,2.71,41
Oregon,OR,2014,1.23,0.57,0.9,2.7,41
Oregon,OR,2013,1.2,0.57,0.89,2.66,41
Oregon,OR,2012,1.21,0.57,0.89,2.66,41
Oregon,OR,2011,1.18,0.56,0.85,2.59,41
Oregon,OR,2010,1.19,0.49,0.83,2.51,41
Oregon,OR,2009,1.28,0.49,0.82,2.59,41
Oregon,OR,2008,1.22,0.49,0.83,2.54,41
Oregon,OR,2007,1.35,0.5,0.81,2.65,41
Oregon,OR,2006,1.32,0.49,0.78,2.59,41
Oregon,OR,2005,1.16,0.5,0.75,2.4,41
